fragments_h,fragments,count,frequency,MW,CLogP,HBA,HBD,heavy,database,legend
CC1OCCCC1O,*OC1C(C)OC(*)C(*)C1*,1,0.0256016385048643,116.083729624,0.5462,2,1,8,DiaNat-DB,DiaNat-DB = 1 (0.03%)
O=CCCc1ccc(O)c(O)c1,*C(=O)C(*)Cc1ccc(O)c(O)c1,1,0.0256016385048643,166.06299418,1.2292999999999998,3,2,12,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CCNC(=N)N,*CCNC(=N)N,1,0.0256016385048643,87.07964728799999,-0.5106300000000001,1,3,6,DiaNat-DB,DiaNat-DB = 1 (0.03%)
OCCCO,*C(CO)CO,1,0.0256016385048643,76.052429496,-0.6389,2,2,5,DiaNat-DB,DiaNat-DB = 1 (0.03%)
O=c1ccoc2cccc(O)c12,*c1cc(O)c2c(=O)c(*)c(*)oc2c1,1,0.0256016385048643,162.031694052,1.4986,3,1,12,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C[C]1O[C@]1(C)C=O,*C(=O)[C@@]1(C)O[C]1C,1,0.0256016385048643,99.044604464,0.52609,2,0,7,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C=CC(C)(C)CCC,*CCC[C@@](C)(C=C)C*,1,0.0256016385048643,112.125200512,2.9987000000000013,0,0,8,DiaNat-DB,DiaNat-DB = 1 (0.03%)
COc1ccccc1,*c1ccc(*)c(OC)c1,1,0.0256016385048643,108.057514876,1.6952,1,0,8,DiaNat-DB,DiaNat-DB = 1 (0.03%)
Oc1ccc2c(c1)OCO2,*c1cc2c(cc1O)OCO2,1,0.0256016385048643,138.031694052,1.1208999999999998,3,1,10,DiaNat-DB,DiaNat-DB = 1 (0.03%)
O=C1C[C](O)CO1,*C1[C](O)COC1=O,1,0.0256016385048643,101.02386902,-0.16221,3,1,7,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CN1CCC=C(C=O)C1,*C(=O)C1=CCCN(C)C1,1,0.0256016385048643,125.084063972,0.4472,2,0,9,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CCc1cc2ccc(=O)oc2cc1O,*CCc1cc2cc(*)c(=O)oc2cc1O,1,0.0256016385048643,190.06299418,2.0610000000000004,3,1,14,DiaNat-DB,DiaNat-DB = 1 (0.03%)
O=CCc1ccc(O)cc1,*C(=O)Cc1ccc(O)cc1,1,0.0256016385048643,136.052429496,1.1336,2,1,10,DiaNat-DB,DiaNat-DB = 1 (0.03%)
COc1ccc2ccc(=O)oc2c1,*c1cc(OC)cc2oc(=O)cc(*)c12,1,0.0256016385048643,176.047344116,1.8016,3,0,13,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C=CCSSC,*CSSCC=C,1,0.0256016385048643,120.006742256,2.1836,2,0,6,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C=CCSC[C](N)C=O,*C(=O)[C](N)CSCC=C,1,0.0256016385048643,144.04830994,0.59519,3,1,9,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C=CC(C)(O)CCC,*CCCC(C)(O)C=C,1,0.0256016385048643,114.104465068,1.7235,1,1,8,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C=CCS(=O)CC,*CCS(=O)CC=C,1,0.0256016385048643,118.04523594,0.941,1,0,7,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CCc1c(O)ccc2ccoc12,*CCc1c(O)ccc2cc(*)oc12,1,0.0256016385048643,162.06807956,2.700800000000001,2,1,12,DiaNat-DB,DiaNat-DB = 1 (0.03%)
O[C@]1[CH]CO[CH][C@]1O,*[C@]1CO[C@@](*)[C@](O)[C@]1O,1,0.0256016385048643,114.031694052,0.1916599999999999,3,2,8,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC=O,*CC=O,1,0.0256016385048643,44.026214748,0.2052,1,0,3,DiaNat-DB,DiaNat-DB = 1 (0.03%)
OCCc1ccc(O)c(O)c1,*OCCc1ccc(O)c(O)c1,1,0.0256016385048643,154.06299418,0.6325999999999998,3,3,11,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C/C=C1/[CH]OC=C(C=O)[C]1CC=O,*C(=O)C[C@]1C(C(*)=O)=CO[C@](*)/C1=C/C,1,0.0256016385048643,178.06299418,1.37098,3,0,13,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CCCCCCC(=O)O,*CCCCCCC(=O)O,1,0.0256016385048643,130.099379688,2.0414,1,1,9,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CCCCCCC(=O)OC,*CCCCCCC(=O)OC,1,0.0256016385048643,144.115029752,2.1298000000000004,2,0,10,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C[C](CC(C)=O)c1ccc(C)cc1,*CC(=O)C[C](C)c1ccc(C)cc1,1,0.0256016385048643,175.1122901,2.9166100000000013,1,0,13,DiaNat-DB,DiaNat-DB = 1 (0.03%)
Oc1ccccc1,*c1cc(*)cc(O)c1,1,0.0256016385048643,94.041864812,1.3922,1,1,7,DiaNat-DB,DiaNat-DB = 1 (0.03%)
Oc1ccc2ccc[o+]c2c1,*c1cc2c(*)cc(O)cc2[o+]c1*,1,0.0256016385048643,147.04405588409,2.4195,1,1,11,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C[C@]1C[CH][C@](O)[C@](O)[C@@]1O,*[C@]1C[C@](C)[C@@](O)[C@](O)[C@]1O,1,0.0256016385048643,141.055169148,0.90225,3,3,10,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C[C@]1C[CH][C@@](O)[C@](O)[C@@]1O,*C[C@]1C[C@@](*)[C@@](O)[C@](O)[C@@]1O,1,0.0256016385048643,141.055169148,0.90225,3,3,10,DiaNat-DB,DiaNat-DB = 1 (0.03%)
NC(C=O)CCC=O,*C(=O)CCC(N)C(*)=O,1,0.0256016385048643,115.063328528,-0.5083000000000002,3,1,8,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C=C1CC1CC(N)C(=O)O,*NC(CC1CC1=C)C(=O)O,1,0.0256016385048643,141.078978592,0.3645000000000001,2,2,10,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C=C1CC1CC(N)C=O,*NC(CC1CC1=C)C(*)=O,1,0.0256016385048643,125.084063972,0.4788,2,1,9,DiaNat-DB,DiaNat-DB = 1 (0.03%)
O=CCc1c[nH]c2ccccc12,*C(=O)Cc1c[nH]c2ccccc12,1,0.0256016385048643,159.068413908,1.9093,1,1,12,DiaNat-DB,DiaNat-DB = 1 (0.03%)
Cc1ccc([SH](=O)=O)cc1,*S(=O)(=O)c1ccc(C)cc1,1,0.0256016385048643,156.024500496,0.96532,2,1,10,DiaNat-DB,DiaNat-DB = 1 (0.03%)
