ID,SMILES_chiral,SMILES_no_chiral,Target_1,pIC50_1,Target_category,Dataset,pEC50,Target_2,pIC50_2
CHEMBL3694424,Fc1c(C2N(CC(=O)N3C[C@](F)CC3)C[C@](N3Cc4n[nH]cc4C3)C[C@@]2N)cc(F)cc1,Fc1c(C2N(CC(=O)N3CC(F)CC3)CC(N3Cc4n[nH]cc4C3)CC2N)cc(F)cc1,Dipeptidyl Peptidase IV (DPP-IV),9.0,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3697938,S(=O)(=O)(C)n1nc2c(c1)CN([C@]1CN(C)C(c3c(F)cc(F)c(F)c3)[C@@](N)C1)C2,S(=O)(=O)(C)n1nc2c(c1)CN(C1CN(C)C(c3c(F)cc(F)c(F)c3)C(N)C1)C2,Dipeptidyl Peptidase IV (DPP-IV),9.0457573,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3697939,S(=O)(=O)(C)n1nc2c(c1)CN([C@]1CN(C(=O)C(F)(F)F)C(c3c(F)ccc(F)c3)[C@@](N)C1)C2,S(=O)(=O)(C)n1nc2c(c1)CN(C1CN(C(=O)C(F)(F)F)C(c3c(F)ccc(F)c3)C(N)C1)C2,Dipeptidyl Peptidase IV (DPP-IV),7.8386321,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3697940,S(=O)(=O)(C)n1nc2c(c1)CN([C@]1CN(CCO)C(c3c(F)ccc(F)c3)[C@@](N)C1)C2,S(=O)(=O)(C)n1nc2c(c1)CN(C1CN(CCO)C(c3c(F)ccc(F)c3)C(N)C1)C2,Dipeptidyl Peptidase IV (DPP-IV),8.7695513,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3697941,S(=O)(=O)(C)n1nc2c(c1)CN([C@]1CN(CC3CC3)C(c3c(F)ccc(F)c3)[C@@](N)C1)C2,S(=O)(=O)(C)n1nc2c(c1)CN(C1CN(CC3CC3)C(c3c(F)ccc(F)c3)C(N)C1)C2,Dipeptidyl Peptidase IV (DPP-IV),8.7958803,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3697942,S(=O)(=O)(C)n1nc2c(c1)CN([C@]1CN(C[C@@](F)C)C(c3c(F)ccc(F)c3)[C@@](N)C1)C2,S(=O)(=O)(C)n1nc2c(c1)CN(C1CN(CC(F)C)C(c3c(F)ccc(F)c3)C(N)C1)C2,Dipeptidyl Peptidase IV (DPP-IV),9.3979397,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3697943,Fc1c(C2N(CCN3CC(F)(F)CC3)C[C@](N3Cc4n[nH]cc4C3)C[C@@]2N)cc(F)cc1,Fc1c(C2N(CCN3CC(F)(F)CC3)CC(N3Cc4n[nH]cc4C3)CC2N)cc(F)cc1,Dipeptidyl Peptidase IV (DPP-IV),7.5951662,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3697944,Fc1c(C2N(CCc3cn(C)nc3)C[C@](N3Cc4n[nH]cc4C3)C[C@@]2N)cc(F)cc1,Fc1c(C2N(CCc3cn(C)nc3)CC(N3Cc4n[nH]cc4C3)CC2N)cc(F)cc1,Dipeptidyl Peptidase IV (DPP-IV),8.1487417,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3697945,Fc1c(C2N(Cc3nccnc3)C[C@](N3Cc4n[nH]cc4C3)C[C@@]2N)cc(F)cc1,Fc1c(C2N(Cc3nccnc3)CC(N3Cc4n[nH]cc4C3)CC2N)cc(F)cc1,Dipeptidyl Peptidase IV (DPP-IV),7.8894105,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3697946,S(=O)(=O)(C)n1nc2c(c1)CN([C@]1CN(Cc3cncnc3)C(c3c(F)ccc(F)c3)[C@@](N)C1)C2,S(=O)(=O)(C)n1nc2c(c1)CN(C1CN(Cc3cncnc3)C(c3c(F)ccc(F)c3)C(N)C1)C2,Dipeptidyl Peptidase IV (DPP-IV),8.5228786,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
