fragments_h,fragments,count,frequency,MW,CLogP,HBA,HBD,heavy
O=Cc1cc(O)c(O)c(O)c1Oc1cc2c(c(O)c1O)-c1c(cc(O)c(O)c1O)C(=O)O[C]1[C](COC2=O)O[CH][C@](O)[C@@]1O,*O[C@]1[C]2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(Oc4c(C(*)=O)cc(O)c(O)c4O)c(O)c3O)C(=O)OC[C]2O[C@](*)[C@@]1O*,2,0.051203277009728626,613.0465740839999,1.9953500000000004,17,10,44
O=C(O[C@]1[CH][C]2OC(=O)c3cc(O)c(O)c(O)c3-c3c(ccc(O)c3O)C(=O)OC[C]2O[C@@]1O)c1cc(O)c(O)c(O)c1,*O[C@]1O[C]2COC(=O)c3cc(*)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C]2[C@](*)[C@@]1OC(=O)c1cc(O)c(O)c(O)c1,2,0.051203277009728626,597.0516594639998,1.87505,16,9,43
O=C(O[C@]1[C]2OC(=O)c3cc(O)c(O)c(O)c3-c3c(ccc(O)c3O)C(=O)OC[C]2O[C@](O)[C@@]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,*O[C@]1O[C]2COC(=O)c3cc(*)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C]2[C@](OC(=O)c2cc(O)c(O)c(O)c2)[C@@]1OC(=O)c1cc(O)c(O)c(O)c1,2,0.051203277009728626,765.057532692,2.1765500000000007,21,12,55
O=Cc1cc(O)c(O)c(O)c1Oc1cc2c(c(O)c1O)-c1c(cc(O)c(O)c1O)C(=O)O[C]1[C](COC2=O)O[C@](O)[C@@](OC(=O)c2cc(O)c(O)c(O)c2)[C@]1OC(=O)c1cc(O)c(O)c(O)c1,*O[C@]1O[C]2COC(=O)c3cc(Oc4c(C(*)=O)cc(O)c(O)c4O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C]2[C@](OC(=O)c2cc(O)c(O)c(O)c2)[C@@]1OC(=O)c1cc(O)c(O)c(O)c1,2,0.051203277009728626,933.0634059200002,2.8981500000000064,26,15,67
O=Cc1cc(O)c(O)c(O)c1Oc1cc2c(c(O)c1O)-c1c(cc(O)c(O)c1O)C(=O)O[C]1[CH][C@](OC(=O)c3cc(O)c(O)c(O)c3)[C@@](O)O[C]1COC2=O,*O[C@]1O[C]2COC(=O)c3cc(Oc4c(C(*)=O)cc(O)c(O)c4O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C]2[C@](*)[C@@]1OC(=O)c1cc(O)c(O)c(O)c1,2,0.051203277009728626,765.057532692,2.596650000000004,21,12,55
O=Cc1cc(O)c(O)c(O)c1Oc1cc2c(c(O)c1O)-c1c(cc(O)c(O)c1O)C(=O)O[C]1[CH][CH][C](O)O[C]1COC2=O,*O[C@]1O[C]2COC(=O)c3cc(Oc4c(C(*)=O)cc(O)c(O)c4O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C]2[C@](*)[C@@]1*,2,0.051203277009728626,597.0516594639998,2.2951500000000005,16,9,43
O=CC=Cc1ccc(O)c(O)c1,*C(=O)C=Cc1ccc(O)c(O)c1,2,0.051203277009728626,164.047344116,1.3098999999999998,3,2,12
CC(=O)c1ccc(O)cc1O,*CC(=O)c1ccc(O)cc1O,2,0.051203277009728626,152.047344116,1.3003999999999998,3,2,11
Oc1cccc(O)c1,*c1cc(O)cc(O)c1,2,0.051203277009728626,110.036779432,1.0977999999999999,2,2,8
O=C1OC[C]2O[CH][C@](O)[C@@](O)[C]2OC(=O)c2cc(O)c(O)c(O)c2-c2c1ccc(O)c2O,*O[C@]1[C]2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(*)c(O)c3O)C(=O)OC[C]2O[C@](*)[C@@]1O*,2,0.051203277009728626,445.04070085599994,1.2737499999999997,12,7,32
O=Cc1cc(O)c(O)c(O)c1Oc1cc2c(c(O)c1O)-c1c(cc(O)c(O)c1O)C(=O)O[C]1[C](COC2=O)O[C@](O)[CH][C@]1OC(=O)c1cc(O)c(O)c(O)c1,*O[C@]1O[C]2COC(=O)c3cc(Oc4c(C(*)=O)cc(O)c(O)c4O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C]2[C@](OC(=O)c2cc(O)c(O)c(O)c2)[C@@]1*,2,0.051203277009728626,765.057532692,2.596650000000002,21,12,55
O=Cc1cc(O)c(O)c(O)c1Oc1cc2c(c(O)c1O)-c1c(cc(O)c(O)c1O)C(=O)O[C]1[C](COC2=O)O[C@](O)[CH][C@]1O,*O[C@]1O[C]2COC(=O)c3cc(Oc4c(C(*)=O)cc(O)c(O)c4O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C]2[C@](O*)[C@@]1*,2,0.051203277009728626,613.0465740839999,1.9953500000000004,17,10,44
O=C(O[C@]1[CH][C@](O)O[C]2COC(=O)c3ccc(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C]21)c1cc(O)c(O)c(O)c1,*O[C@]1O[C]2COC(=O)c3cc(*)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C]2[C@](OC(=O)c2cc(O)c(O)c(O)c2)[C@@]1*,2,0.051203277009728626,597.051659464,1.87505,16,9,43
CC1(C)[C]2CC[C@]3(C)[C](CC=C4[C]5[C@](C)[C@@](C)CC[C@]5(C=O)CC[C@]43C)[C@@]2(C)CC[C@@]1O,*C(=O)[C@@]12CC[C@]3(C)C(=CC[C]4[C@@]5(C)CC[C@](O)C(C)(C)[C]5CC[C@]43C)[C]1[C@@](C)[C@](C)CC2,2,0.051203277009728626,434.31848058399993,7.538840000000008,2,1,32
